database,schema,table,ts_column,row_count,total_mb,min_ts,max_ts,non_null_count,query_seconds
Megatron,dbo,Account,acc_Created,2082770,511.390625,1973-05-30 00:00:00,2026-06-12 17:18:55.933000,2082770,1.03
Megatron,dbo,AdCenterImpressions,time,1877483,87.445312,2016-10-30 16:03:51.263000,2025-04-12 06:36:01.377000,1877483,0.21
Megatron,dbo,PowerListingCheck,created,1740161,250.570312,2019-07-15 11:28:47.710000,2025-04-12 05:00:05.020000,1740161,0.21
Megatron,dbo,AccountLogin,acl_Date,1489516,97.695312,2016-10-30 13:50:10.517000,2026-06-14 11:53:29.707000,1489516,0.2
Megatron,dbo,EmailScrubFinals,ldq_Created,1281030,138.21875,2015-05-01 00:03:55,2026-05-31 13:20:17,1281030,0.19
Prime,dbo,LocalSearchActionTotal,lat_DateFetched,1015627,121.671875,2017-01-02 08:15:51,2023-04-18 08:29:22,1015627,0.97
Megatron,dbo,EmailObjects,emo_Created,976257,2335.484375,2017-09-26 14:52:37.870000,2026-06-14 11:20:01.797000,976257,1.08
Prime,dbo,VideoAdCampaignGeoData,CreatedAt,967843,310.476562,2025-11-19 09:49:33.336666,2026-06-14 15:56:01.521702,967843,0.99
Megatron,dbo,DXAccountToMEMBERS,acc_update,967840,31.078125,,,0,0.98
Prime,dbo,SegmentedCampaignPerformance,CreatedDate,769085,148.179687,2025-09-03 14:43:06.416666,2026-06-14 06:22:20.616666,769085,0.96
Megatron,dbo,OLMLog,oll_DateLastAttempted,651684,40.804687,2016-10-30 19:01:56,2024-02-21 08:30:01,641179,1.09
Megatron,dbo,AccountPreferenceOptOut,optout_Date,594335,13.609375,2011-03-07 16:15:00,2025-10-01 11:46:00,594339,0.24
WEB,dbo,AlexFridayReport,Date_Modified,579129,73.554687,2015-02-13 05:03:00,2024-09-20 12:00:01.693000,579129,0.95
Megatron,dbo,zzz_fbAutomotiveCatalog_data_v4_temp_timtest,lst_created,521573,1840.15625,2018-01-27 14:06:20.763000,2020-10-23 15:31:28.610000,521573,1.65
OutboundFeeds,dbo,obf_CarFax_Data,llst_created,464287,81.070312,2020-04-20 15:00:21.113000,2023-10-07 23:48:02.670000,464287,2.17
Prime,dbo,VideoAdCampaignInventoryData,CreatedAt,420016,138.46875,2025-11-19 21:01:29.393333,2026-06-14 15:56:01.642672,420016,0.95
WEB,dbo,dx_ListingCount_Log,QueryDate,388388,16.179687,2017-09-30 10:30:28.480000,2026-06-14 07:35:20.880000,388388,1.0
Megatron,dbo,listing_pric_With_Max,lst_Updated,387426,200.125,2022-01-20 11:22:22.050000,2024-02-01 20:22:17.263000,387426,0.98
Prime,dbo,TikTokCampaignDataset,date,303118,14.140625,2025-04-10,2026-06-14,303118,1.02
Prime,dbo,VideoAdCampaignTechnologyData,CreatedAt,302791,91.039062,2025-11-19 10:17:10.326666,2026-06-14 15:56:01.590972,302791,0.17
Megatron,dbo,BackupLog,BackupFinishDate,278391,69.273437,2025-06-26 09:27:41,2026-06-14 12:56:54,238704,1.01
Megatron,dbo,FileDetails_Log,fileDateCreated,269880,56.984375,2016-03-25 17:42:50,2025-04-12 04:46:11,268626,0.27
RedDawn,dbo,Crawler_Totals,date,264225,18.085937,2025-12-04 09:19:57.370000,2026-06-14 10:18:23.903000,264225,0.98
Megatron,dbo,LeadQueue,ldq_Created,207367,264.929687,2010-01-26 15:11:04.660000,2026-06-14 11:15:13,207367,0.97
Megatron,dbo,zzz_AccountSavedListing,asl_Created,207177,6.539062,2010-05-09 18:02:31.580000,2019-02-20 15:33:49.333000,207177,0.19
Megatron,dbo,EmailScrubRejects,Ignore_Date,187749,17.34375,2015-07-06 10:28:50.127000,2016-04-21 12:50:15.077000,27,0.18
RedDawn,dbo,MonthlyPriceImageProcessing,created,178433,81.585937,2023-01-06 09:09:03.850000,2026-05-11 10:22:27.677000,178433,0.95
Prime,dbo,GVACampaignDataset,rpt_date,144355,22.3125,2023-08-01,2026-06-14,144355,0.97
RedDawn,dbo,Crawler_Error_Logs,event_date,126099,35.445312,2022-03-11 00:16:02.557000,2026-06-14 03:34:32.183000,126099,0.97
Prime,dbo,DTCL_Calls,Created,121945,20.789062,2017-01-01 09:21:00,2019-04-29 20:07:16,121945,0.95
Prime,dbo,YextSubscription,paidThroughDate,120216,185.320312,2012-07-25,2017-10-12,120216,0.23
Megatron,dbo,fbAutomotiveCatalog_data_v3,lst_created,108616,283.710937,2018-03-13 05:25:51.797000,2020-11-30 11:30:20.873000,108616,0.96
Megatron,dbo,fbAutomotiveCatalog_data_v3_temp,lst_created,108616,1301.914062,2018-03-13 05:25:51.797000,2020-11-30 11:30:20.873000,108616,0.63
PetFinder,dbo,SilverpopAccountStatus,sas_OptedOutDate,107872,13.507812,2009-11-22 16:00:00,2011-04-09 02:01:00,11630,2.19
Megatron,dbo,PhyronVideos,created,106055,26.757812,2025-11-05 16:35:06.690000,2026-06-14 07:08:35.697000,106055,0.95
Prime,dbo,grail_srpactions_daily_Mar2026,event_date,102674,4.195312,2026-03-01,2026-03-31,102674,0.95
